cosine_similarity,text
1.0,"It shook quite a bit. At around 16:18 on the 9th, an earthquake (estimated M3.9) occurred near Minami Ward, Sakai City, Osaka Prefecture (N34.5/E135.5). The hypocenter depth is estimated to be less than 10 km."
0.37977914581383343,"Let's visit medical treatment. Imakoko L: 410-10 Shimbashi-cho, Minami-ku, Hamamatsu City, Shizuoka Prefecture"
0.3667632928258904,"[03:54:08]: [Near Shimizukoji, Wakabayashi Ward, Sendai City, Miyagi Prefecture] received earthquake information. #anpi_popopopon"
0.36301544528964313,"[USER] It's Gifu prefecture~ 35.22551,136.685463"
0.36301544528964313,Aichi Prefecture
0.33000359595056805,"???Earthquake Early Warning [1st Report] At 02:52:17, an earthquake with a seismic intensity of 1 (M3.7) occurred off the coast of Miyagi Prefecture. The depth of the epicenter was 10 km below the sea area. [URL] #jishin #earthquake #eqjp"
0.3227377308655389,"jishin RT[USER] [Japan Meteorological Agency Information] At around 02:10 on the 7th, an earthquake with a maximum seismic intensity of 1 (M2.8) occurred near eastern Mino, Gifu Prefecture (N35.4/E137.4). The depth of the epicenter was 10 km. ( [URL] ) #saigai #eqjp"
0.318998866994252,"Tsuruki Bunkyo Branch Check in at 3-9-41 Bunkyo, Fukui City, Fukui Prefecture! [URL] #lococom"
0.3153907947408831,"Yamagata Prefecture, Jubuichiyama Now! Flying from the morning ?(^o^)? [URL]"
0.30866844690500583,[USER] All you have to do is hit one of the 100 best waterfalls in the world in Yamanashi Prefecture!
0.3069835167280184,"I'm at Utsunomiya Sta. (Utsunomiya City, Tochigi Prefecture) [URL]"
0.2978227766266604,It's here. Can you please stop? But it's a little less!
0.29722694062528626,"Kaoru Fu Ramen @ Gankoya Imakoko! L: Shimododa, Kasumigaura City, Ibaraki Prefecture [URL]"
0.29247373474355043,"As of now, I am a citizen of Tomioka, Gunma Prefecture. Best regards, everyone (^_^)v"
0.2914698955997608,"I don't have a daughter, so I'm driving with my husband. I came to Yamanashi. [Hokuto City, Yamanashi Prefecture] [URL]"
0.2881930557863401,[USER] Oh! ! Where is the restaurant in front of Minami Kusatsu Station??(^o^)?
0.2788555369117198,Today is Sakai Cartland. Clouds that look like it's going to rain. I hate rain. [URL]
0.2784775843957225,[USER] It's Osaka~ \(^^)/
0.27734327253362157,Tomorrow morning I will be in Katsuyama City (Fukui Prefecture) (laughs) I will go three and a half hours one way! !
0.27460553747013994,"Girls Verchao Sawara Ward, Fukuoka City, Fukuoka Prefecture [URL] #lococom"
0.27368491105907483,"Ramen mature shop now! Imakoko L: 2837-7 Ozatocho, Kofu City, Yamanashi Prefecture"
0.2719459362256139,[USER] People in Kanagawa Prefecture are soft enough to say they're dying... I didn't even know there was an earthquake in the countryside of Chiba.
0.271844978846048,"Michol?( �?`)y??~~ (Kawasaki City/Kanagawa Prefecture, Japan) ( (???????) [URL] )"
0.2708229347277633,Pass! (@ Sakai Sta.) [URL]
0.269412076279213,"What do you look like to everyone? I'd like to see something like ""?? Prefecture ?? City"" appear. Where are you? smile"
0.26426227014208015,"Arrive at the 5th station! It's so cool? [Narusawa Village, Minamitsuru District, Yamanashi Prefecture] [URL]"
0.25862274131998747,"Yesterday, at the Olympic Country Club in Uenohara City, Yamanashi Prefecture, it was 69, 64, and 133 (?_�)? aim for 120 cars?"
0.25694229894858567,"I was supposed to be on the rapid train bound for Sannomiya, but before I knew it, I ended up in a very strange place... 5-1 Hirono, Sanda City, Hyogo Prefecture"
0.25562103235833855,"I'm in Saitama Prefecture today (T_T) 36.124165,139.639932"
0.255251017804513,"Screaming love at the center of the world (3-chome Montocho, Yonezawa City, Yamagata Prefecture) (accuracy 65m) - [URL]"
0.24767686964961771,Toyohashi departs in about 5 minutes. I will come to Aichi Prefecture again soon! For the Maglev/Railway Museum
0.2455921552572864,[USER] Touring Tohoku! It's almost like going around Iwate Prefecture (~_~;) It's hard to hang around for a week if it's raining
0.24164447168318934,"My favorite ramen shop. Ippotei. I am eating nostalgic ""Agodashi Ramen"". 2-chome Kashiwagi, Aoba Ward, Sendai City, Miyagi Prefecture"
0.24028328126127402,Natural Therapy Healing House Shizuoka Prefecture Shuchi-gun Morimachi [URL] #lococom [URL]
0.24002974900083562,"Wow, it's snowing heavily (�3 < 4-28 Narayama Jonancho, Akita City, Akita Prefecture"
0.2397093936903365,[USER] He even went all the way to Osaka ( � ? ` )?
0.23896979388575404,I'm hungry after eating less dinner~(*_*) It's a night of patience(>_<)
0.2371816245124907,"Saitama prefecture now. It's hotter than Tokyo. 35.855517, 139.515643"
0.23176911008200485,"[USER] Good evening. Driving to Yamaguchi now. (Takarazuka City/Hyogo Prefecture, Japan) [URL]"
0.23038888849243516,"High humidity and faint clouds. The direction should be correct. 5-16 Nishiyamacho, Kasugai City, Aichi Prefecture"
0.2301865915564872,"I'm worried about the east coast of Chiba Prefecture, because I'm too local."
0.228934600158746,"Good morning. Today is Nakayama, Motoyama, Koiwa, Minami-Gyotoku, Tsukada, Natsumi, and Yatsu. Thanking you in advance."
0.22688263010138074,"Early in the new year, the earthquake...(~_~;) It was quite big (-?-; Everyone is okay (;?O?)?"
0.22628160239150338,I couldn't sleep again because of the earthquake from my toes cramping! ! ( ?�??)
0.22567818776062246,Mie prefecture now?? It's the first time I've come to this place by myself~! Exciting www [URL]
0.22554671920690508,Shopping with my mom. (@ Aeon Supercenter Yokote Minami) [URL]
0.22470871743920637,"Continue walking for 30 minutes. 43 came into view. 7-1-8 Doi-cho, Amagasaki City, Hyogo Prefecture"
0.22299281964250192,Ajigasawa radiation level in Aomori Prefecture is now 0.12 microsieverts. The weather is fine. This is where the famous Wasao (dog) lives.
0.22073535665337052,"Kibagata with a small touring during lunch break. It's getting warmer. It's almost spring, isn't it? 41, Imaecho, Komatsu City, Ishikawa Prefecture"
0.2200469605333234,"Tono's God of Marriage (lol) I just borrowed a toilet ~ [Shimogumi Town, Tono City, Iwate Prefecture] [URL]"
0.21766328707075266,"I hope the damage from the typhoon is minimal. Okazaki City, Aichi Prefecture, current storm. [URL]"
0.21497125654281024,Kelompok anak SD didikan saya ?(?????)? @ Nagata Minami Elementary School [URL]
0.2125578511535308,"If you come to Kasuga Shrine, Oita City, Oita Prefecture, please come and buy some corn! ! ! If you say you've seen Twitter, there might be a bonus! ? Thank you for your support~!"
0.21216514571984496,"Let's take a break in Sanada. Avoid Karuizawa and take a detour via Naganohara. [Ueda City, Nagano Prefecture]"
0.2094890296902728,Beauty Salon Nau @ 7-Eleven Shinagawa Minami Oi 3-chome Nau [URL]
0.20703676610902713,"Pick up my son at Tsunashima Station Imakoko L: 5-17-17 Tsunashima Nishi, Kohoku-ku, Yokohama City, Kanagawa Prefecture"
0.20500363413497896,"Today I'm going to work earlier than usual ?(^^)? Everyone, please come? [Ota-cho, Minokamo City, Gifu Prefecture]"
0.19748562443647438,#For Shimabara ? Dokamori fried chicken set meal 690 yen! Men will be full too~(^o^)/ I'm fine with one less lol [URL]
0.19639210045669953,"I'm writing like it's only natural that I know the recklessness, but now here. 34.645315,135.815599 [URL] 152 Kamimitsubashi-cho, Yamatokoriyama City, Nara Prefecture"
0.19629343392392148,A little less people. (@ Tokyo Big Sight East Exhibition Hall w/ 4 others) [pic]: [URL]
0.19555015627736433,"Heavy traffic on Route 1. The car in front is a Nerima license plate. Should I go the other way... Imakoko L: 15 Minamimachi, Mishima City, Shizuoka Prefecture"
0.1952521891972104,"Moi! Streaming live on TwitCasting from iPhone - Hiratsuka Suga no Matsuri (Hiratsuka City/Kanagawa Prefecture, Japan) [URL]"
0.19473397307735066,"Entered Fukushima Prefecture. You can see the sea. Imakoko L: 26 Sekita Kazuhisa, Nakoso-cho, Iwaki-shi, Fukushima"
0.1928279998326146,"On October 9th (Sunday), I will participate in the Minami Senior Citizens Facility Festival as a volunteer for the Ebina City Council of Social Welfare."
0.19254961379324675,[USER] Good morning~(^-^)I'm in Osaka now because I hope you're doing well today. You came too early~ I wasted time...
0.1918892673596358,"At the Johoku Clinic in Iwaki City, Fukushima Prefecture, where I went, the doctor said that generic medicines don't contain preservatives and are put on pigs, but is that true?"
0.19180590461367356,"[USER] No, no, I'm Yamatonchu living in Chiba Prefecture (*^^*) I was working at a hotel in Okinawa until 5 years ago. Let's try it too!"
0.1912561396556834,"Meditation time, 130 minutes. On December 17th, I hope many people will participate in the meditation meeting held at Minami Community Center in Iwata City."
